Resume ID,Candidate Name,Job ID,Job Title,Semantic Score,Skill Overlap,Final Score,Final %
0,0,605,Machine Learning,0.8251,0.1353,0.6527,65.27
0,0,775,Machine Learning,0.8185,0.1082,0.641,64.1
0,0,329,Machine Learning,0.8501,0.0069,0.6393,63.93
0,0,90,Machine Learning,0.8017,0.1255,0.6326,63.26
0,0,1419,Machine Learning,0.7927,0.125,0.6258,62.58
1,1,681,Machine Learning,0.7783,0.0867,0.6054,60.54
1,1,1831,Machine Learning,0.7278,0.0751,0.5647,56.47
1,1,1962,Machine Learning,0.7296,0.0629,0.5629,56.29
1,1,464,Machine Learning,0.7219,0.0777,0.5609,56.09
1,1,1217,Machine Learning,0.72,0.0521,0.553,55.3
2,2,1165,Software Engineer,0.7268,0.101,0.5704,57.04
2,2,361,Network Administrator,0.7245,0.0664,0.56,56.0
2,2,1899,Django Developer,0.7124,0.0929,0.5575,55.75
2,2,507,Software Engineer,0.714,0.0731,0.5538,55.38
2,2,463,DevOps Engineer,0.714,0.0731,0.5538,55.38
3,3,1002,Machine Learning,0.7914,0.1636,0.6344,63.44
3,3,1067,Django Developer,0.7928,0.1247,0.6258,62.58
3,3,520,Machine Learning,0.7788,0.1507,0.6218,62.18
3,3,547,Machine Learning,0.8006,0.0392,0.6102,61.02
3,3,1868,Software Engineer,0.7859,0.0,0.5894,58.94
4,4,1107,Java Developer,0.7914,0.0877,0.6155,61.55
4,4,1914,Java Developer,0.7664,0.1111,0.6026,60.26
4,4,1717,Backend Developer,0.7683,0.1053,0.6025,60.25
4,4,2245,Java Developer,0.7803,0.0588,0.6,60.0
4,4,1555,Django Developer,0.7657,0.0759,0.5932,59.32
5,5,523,Machine Learning,0.758,0.0986,0.5931,59.31
5,5,2245,Java Developer,0.7644,0.0455,0.5847,58.47
5,5,863,Machine Learning,0.7562,0.0686,0.5843,58.43
5,5,2031,Django Developer,0.7483,0.0357,0.5702,57.02
5,5,1739,Machine Learning,0.7411,0.0505,0.5684,56.84
6,6,605,Machine Learning,0.8242,0.1262,0.6497,64.97
6,6,775,Machine Learning,0.7946,0.1225,0.6266,62.66
6,6,1217,Machine Learning,0.7919,0.1089,0.6211,62.11
6,6,329,Machine Learning,0.8187,0.0,0.6141,61.41
6,6,547,Machine Learning,0.7907,0.0504,0.6056,60.56
7,7,775,Machine Learning,0.8611,0.1338,0.6793,67.93
7,7,1193,Machine Learning,0.858,0.1303,0.6761,67.61
7,7,527,Machine Learning,0.8347,0.1573,0.6654,66.54
7,7,1932,Machine Learning,0.8344,0.1081,0.6528,65.28
7,7,329,Machine Learning,0.8429,0.0037,0.6331,63.31
8,8,775,Machine Learning,0.8559,0.1128,0.6701,67.01
8,8,90,Machine Learning,0.7935,0.1201,0.6251,62.51
8,8,329,Machine Learning,0.8279,0.0085,0.6231,62.31
8,8,556,Software Engineer,0.7996,0.0912,0.6225,62.25
8,8,605,Machine Learning,0.7922,0.1,0.6191,61.91
9,9,402,Machine Learning,0.8118,0.099,0.6336,63.36
9,9,1422,Machine Learning,0.8117,0.0979,0.6333,63.33
9,9,1890,Machine Learning,0.789,0.1504,0.6293,62.93
9,9,918,Machine Learning,0.7954,0.1087,0.6238,62.38
9,9,547,Machine Learning,0.7845,0.0487,0.6005,60.05
10,10,605,Machine Learning,0.8251,0.1353,0.6527,65.27
10,10,775,Machine Learning,0.8185,0.1082,0.641,64.1
10,10,329,Machine Learning,0.8501,0.0069,0.6393,63.93
10,10,90,Machine Learning,0.8017,0.1255,0.6326,63.26
10,10,1419,Machine Learning,0.7927,0.125,0.6258,62.58
11,11,681,Machine Learning,0.7783,0.0867,0.6054,60.54
11,11,1831,Machine Learning,0.7278,0.0751,0.5647,56.47
11,11,1962,Machine Learning,0.7296,0.0629,0.5629,56.29
11,11,464,Machine Learning,0.7219,0.0777,0.5609,56.09
11,11,1217,Machine Learning,0.72,0.0521,0.553,55.3
12,12,1165,Software Engineer,0.7268,0.101,0.5704,57.04
12,12,361,Network Administrator,0.7245,0.0664,0.56,56.0
12,12,1899,Django Developer,0.7124,0.0929,0.5575,55.75
12,12,507,Software Engineer,0.714,0.0731,0.5538,55.38
12,12,463,DevOps Engineer,0.714,0.0731,0.5538,55.38
13,13,1002,Machine Learning,0.7914,0.1636,0.6344,63.44
13,13,1067,Django Developer,0.7928,0.1247,0.6258,62.58
13,13,520,Machine Learning,0.7788,0.1507,0.6218,62.18
13,13,547,Machine Learning,0.8006,0.0392,0.6102,61.02
13,13,1868,Software Engineer,0.7859,0.0,0.5894,58.94
14,14,1107,Java Developer,0.7914,0.0877,0.6155,61.55
14,14,1914,Java Developer,0.7664,0.1111,0.6026,60.26
14,14,1717,Backend Developer,0.7683,0.1053,0.6025,60.25
14,14,2245,Java Developer,0.7803,0.0588,0.6,60.0
14,14,1555,Django Developer,0.7657,0.0759,0.5932,59.32
15,15,523,Machine Learning,0.758,0.0986,0.5931,59.31
15,15,2245,Java Developer,0.7644,0.0455,0.5847,58.47
15,15,863,Machine Learning,0.7562,0.0686,0.5843,58.43
15,15,2031,Django Developer,0.7483,0.0357,0.5702,57.02
15,15,1739,Machine Learning,0.7411,0.0505,0.5684,56.84
16,16,605,Machine Learning,0.8242,0.1262,0.6497,64.97
16,16,775,Machine Learning,0.7946,0.1225,0.6266,62.66
16,16,1217,Machine Learning,0.7919,0.1089,0.6211,62.11
16,16,329,Machine Learning,0.8187,0.0,0.6141,61.41
16,16,547,Machine Learning,0.7907,0.0504,0.6056,60.56
17,17,775,Machine Learning,0.8611,0.1338,0.6793,67.93
17,17,1193,Machine Learning,0.858,0.1303,0.6761,67.61
17,17,527,Machine Learning,0.8347,0.1573,0.6654,66.54
17,17,1932,Machine Learning,0.8344,0.1081,0.6528,65.28
17,17,329,Machine Learning,0.8429,0.0037,0.6331,63.31
18,18,775,Machine Learning,0.8559,0.1128,0.6701,67.01
18,18,90,Machine Learning,0.7935,0.1201,0.6251,62.51
18,18,329,Machine Learning,0.8279,0.0085,0.6231,62.31
18,18,556,Software Engineer,0.7996,0.0912,0.6225,62.25
18,18,605,Machine Learning,0.7922,0.1,0.6191,61.91
19,19,402,Machine Learning,0.8118,0.099,0.6336,63.36
19,19,1422,Machine Learning,0.8117,0.0979,0.6333,63.33
19,19,1890,Machine Learning,0.789,0.1504,0.6293,62.93
19,19,918,Machine Learning,0.7954,0.1087,0.6238,62.38
19,19,547,Machine Learning,0.7845,0.0487,0.6005,60.05
20,20,605,Machine Learning,0.8251,0.1353,0.6527,65.27
20,20,775,Machine Learning,0.8185,0.1082,0.641,64.1
20,20,329,Machine Learning,0.8501,0.0069,0.6393,63.93
20,20,90,Machine Learning,0.8017,0.1255,0.6326,63.26
20,20,1419,Machine Learning,0.7927,0.125,0.6258,62.58
21,21,681,Machine Learning,0.7783,0.0867,0.6054,60.54
21,21,1831,Machine Learning,0.7278,0.0751,0.5647,56.47
21,21,1962,Machine Learning,0.7296,0.0629,0.5629,56.29
21,21,464,Machine Learning,0.7219,0.0777,0.5609,56.09
21,21,1217,Machine Learning,0.72,0.0521,0.553,55.3
22,22,1165,Software Engineer,0.7268,0.101,0.5704,57.04
